Stimulus;VisualField;Pseudoword;Tapping;WordCategory;SubCategory;
bummeln;RVF;FALSE;TRUE;F;F;
treten;LVF;FALSE;TRUE;F;F;
spurten;LVF;FALSE;TRUE;F;F;
strongen;RVF;TRUE;TRUE;F;F;
kechen;RVF;TRUE;TRUE;F;F;
spolten;RVF;TRUE;TRUE;F;F;
kischen;LVF;TRUE;TRUE;F;F;
spompfen;LVF;TRUE;TRUE;F;F;
eupen;RVF;TRUE;TRUE;F;F;
mochen;LVF;TRUE;TRUE;F;F;
stürmen;RVF;FALSE;TRUE;F;F;
radeln;RVF;FALSE;TRUE;F;F;
trilen;RVF;TRUE;TRUE;F;F;
stärmen;LVF;TRUE;TRUE;F;F;
kanzen;RVF;TRUE;TRUE;F;F;
kriben;LVF;TRUE;TRUE;F;F;
huschen;RVF;FALSE;TRUE;F;F;
traben;LVF;FALSE;TRUE;F;F;
tanzen;LVF;FALSE;TRUE;F;F;
kummeln;LVF;TRUE;TRUE;F;F;
stelpern;LVF;TRUE;TRUE;F;F;
joggen;LVF;FALSE;TRUE;F;F;
trotten;RVF;FALSE;TRUE;F;F;
stampfen;RVF;FALSE;TRUE;F;F;
folgen;LVF;FALSE;TRUE;F;F;
flitzen;RVF;FALSE;TRUE;F;F;
pelgen;RVF;TRUE;TRUE;F;F;
fleuhen;RVF;TRUE;TRUE;F;F;
häkeln;RFV;FALSE;FALSE;H;H2;
knechen;LVF;TRUE;FALSE;H;H2;
flicken;RFV;FALSE;FALSE;H;H2;
hümeln;RFV;TRUE;FALSE;H;H2;
wringen;RFV;FALSE;FALSE;H;H2;
kleben;LVF;FALSE;FALSE;H;H2;
lühren;RFV;TRUE;FALSE;H;H2;
knicken;RFV;FALSE;FALSE;H;H2;
rechen;LVF;FALSE;FALSE;H;H2;
schnüren;RFV;FALSE;FALSE;H;H2;
spracken;LVF;TRUE;FALSE;H;H2;
truchten;RFV;TRUE;FALSE;H;H2;
sugen;LVF;TRUE;FALSE;H;H2;
formen;LVF;FALSE;FALSE;H;H2;
scheimeln;RFV;TRUE;FALSE;H;H2;
buddeln;LVF;FALSE;FALSE;H;H2;
fegen;RFV;FALSE;FALSE;H;H2;
schaufeln;RFV;FALSE;FALSE;H;H2;
toschen;LVF;TRUE;FALSE;H;H2;
"	schnaren";LVF;TRUE;FALSE;H;H2;
kneten;LVF;FALSE;FALSE;H;H2;
krepen;RFV;TRUE;FALSE;H;H2;
stonken;LVF;TRUE;FALSE;H;H2;
reufen;RFV;TRUE;FALSE;H;H2;
reißen;LVF;FALSE;FALSE;H;H2;
waschen;RFV;FALSE;FALSE;H;H2;
frilgen;LVF;TRUE;FALSE;H;H2;
nülen;RFV;TRUE;FALSE;H;H2;
reupen;LVF;TRUE;FALSE;H;H2;
nähen;LVF;FALSE;FALSE;H;H2;
zesten;RFV;TRUE;FALSE;H;H1;
heien;LVF;TRUE;FALSE;H;H1;
hauen;RFV;FALSE;FALSE;H;H1;
schütteln;RFV;FALSE;FALSE;H;H1;
schansen;LVF;TRUE;FALSE;H;H1;
pleifen;RFV;TRUE;FALSE;H;H1;
supfen;RFV;TRUE;FALSE;H;H1;
getzeln;RFV;TRUE;FALSE;H;H1;
wischen;LVF;FALSE;FALSE;H;H1;
streichen;LVF;FALSE;FALSE;H;H1;
fassen;RFV;FALSE;FALSE;H;H1;
kritzeln;RFV;FALSE;FALSE;H;H1;
pachen;RFV;TRUE;FALSE;H;H1;
präcken;LVF;TRUE;FALSE;H;H1;
salben;LVF;FALSE;FALSE;H;H1;
krutzeln;LVF;TRUE;FALSE;H;H1;
kiben;LVF;TRUE;FALSE;H;H1;
kolten;RFV;TRUE;FALSE;H;H1;
kitzeln;RFV;FALSE;FALSE;H;H1;
geußen;LVF;TRUE;FALSE;H;H1;
malen;LVF;FALSE;FALSE;H;H1;
heben;RFV;FALSE;FALSE;H;H1;
glätten;RFV;FALSE;FALSE;H;H1;
tasten;LVF;FALSE;FALSE;H;H1;
drücken;RFV;FALSE;FALSE;H;H1;
fuppeln;LVF;TRUE;FALSE;H;H1;
speßen;RFV;TRUE;FALSE;H;H1;
zeichnen;LVF;FALSE;FALSE;H;H1;
packen;LVF;FALSE;FALSE;H;H1;
glüppen;LVF;TRUE;FALSE;H;H1;
speifen;LVF;TRUE;FALSE;F;F;
joggen;RFV;FALSE;FALSE;F;F;
traben;RFV;FALSE;FALSE;F;F;
stapfen;RFV;FALSE;FALSE;F;F;
paseln;LVF;TRUE;FALSE;F;F;
trommen;LVF;TRUE;FALSE;F;F;
gapen;LVF;TRUE;FALSE;F;F;
flitzen;LVF;FALSE;FALSE;F;F;
folgen;RFV;FALSE;FALSE;F;F;
himpeln;LVF;TRUE;FALSE;F;F;
treten;RFV;FALSE;FALSE;F;F;
waten;RFV;FALSE;FALSE;F;F;
trotten;LVF;FALSE;FALSE;F;F;
radeln;LVF;FALSE;FALSE;F;F;
huschen;LVF;FALSE;FALSE;F;F;
stipfen;RFV;TRUE;FALSE;F;F;
spiekeln;RFV;TRUE;FALSE;F;F;
leifen;RFV;TRUE;FALSE;F;F;
bummeln;LVF;FALSE;FALSE;F;F;
fröchten;LVF;TRUE;FALSE;F;F;
hipfen;RFV;TRUE;FALSE;F;F;
stürmen;LVF;FALSE;FALSE;F;F;
stampfen;LVF;FALSE;FALSE;F;F;
jonnen;RFV;TRUE;FALSE;F;F;
pondeln;RFV;TRUE;FALSE;F;F;
tanzen;RFV;FALSE;FALSE;F;F;
plien;LVF;TRUE;FALSE;F;F;
sprinfen;LVF;TRUE;FALSE;F;F;
spurten;RFV;FALSE;FALSE;F;F;
fretzen;RFV;TRUE;FALSE;F;F;
reiben;LVF;FALSE;FALSE;H;H2;
paudeln;LVF;TRUE;FALSE;H;H2;
schöpen;RFV;TRUE;FALSE;H;H2;
fiedeln;RFV;FALSE;FALSE;H;H2;
bümmeln;RFV;TRUE;FALSE;H;H2;
bohren;LVF;FALSE;FALSE;H;H2;
weben;LVF;FALSE;FALSE;H;H2;
krenen;RFV;TRUE;FALSE;H;H2;
heppen;RFV;TRUE;FALSE;H;H2;
fruchen;RFV;TRUE;FALSE;H;H2;
kemen;LVF;TRUE;FALSE;H;H2;
graben;RFV;FALSE;FALSE;H;H2;
sägen;LVF;FALSE;FALSE;H;H2;
racken;LVF;TRUE;FALSE;H;H2;
flechten;RFV;FALSE;FALSE;H;H2;
hissen;RFV;FALSE;FALSE;H;H2;
harken;RFV;FALSE;FALSE;H;H2;
kreten;LVF;TRUE;FALSE;H;H2;
folmen;LVF;TRUE;FALSE;H;H2;
schälen;RFV;FALSE;FALSE;H;H2;
lützen;RFV;TRUE;FALSE;H;H2;
putzen;RFV;FALSE;FALSE;H;H2;
stopfen;LVF;FALSE;FALSE;H;H2;
hacken;RFV;FALSE;FALSE;H;H2;
hurgen;LVF;TRUE;FALSE;H;H2;
fumen;LVF;TRUE;FALSE;H;H2;
höchen;LVF;TRUE;FALSE;H;H2;
